iter	Passed	Remaining
897	5735	651
898	5743	645
899	5749	638
900	5757	632
901	5763	626
902	5768	619
903	5775	613
904	5781	606
905	5787	600
906	5793	594
907	5798	587
908	5803	580
909	5808	574
910	5813	567
911	5819	561
912	5825	555
913	5831	548
914	5841	542
915	5847	536
916	5855	530
917	5860	523
918	5865	516
919	5871	510
920	5877	504
921	5882	497
922	5886	491
923	5891	484
924	5897	478
925	5901	471
926	5906	465
927	5914	458
928	5918	452
929	5923	445
930	5928	439
931	5933	432
932	5942	426
933	5947	420
934	5952	413
935	5959	407
936	5964	401
937	5973	394
938	5980	388
939	5985	382
940	5991	375
941	5997	369
942	6002	362
943	6007	356
944	6015	350
945	6020	343
946	6025	337
947	6033	330
948	6039	324
949	6048	318
950	6053	311
951	6059	305
952	6066	299
953	6072	292
954	6079	286
955	6083	280
956	6092	273
957	6098	267
958	6105	261
959	6111	254
960	6116	248
961	6129	242
962	6151	236
963	6162	230
964	6176	224
965	6193	217
966	6204	211
967	6212	205
968	6226	199
969	6234	192
970	6241	186
971	6246	179
972	6252	173
973	6259	167
974	6268	160
975	6276	154
976	6282	147
977	6288	141
978	6292	134
979	6297	128
980	6301	122
981	6306	115
982	6310	109
983	6315	102
984	6321	96
985	6325	89
986	6329	83
987	6334	76
988	6379	70
989	6389	64
990	6395	58
991	6404	51
992	6412	45
993	6471	39
994	6485	32
995	6492	26
996	6505	19
997	6511	13
998	6554	6
999	6561	0
